timestamp,channel,RMS,MAV,IEMG,WL,ZC,Peak,DAMV,ForcePercent,MNF,MDF,Peak_Freq,Total_Power,PowerBelow100Hz
1764769356.7145007,0,289.9245702122282,264.1168053300109,105646.72213200436,16019.617536437827,20,412.61926481914463,40.14941738455596,57.984914042445645,50.3414862186666,50.0,50.0,83809.45438301959,83580.41192661268
1764769356.8445907,0,289.88883329385374,263.93709484986465,105574.83793994585,16045.496235581111,20,413.07481694355596,40.214276279651905,57.97776665877075,50.3330083401642,50.0,50.0,84122.56620524639,83889.43615969425
1764769356.8814318,0,289.8977169181502,263.98227804197353,105592.91121678942,16053.55115160681,20,413.07481694355596,40.23446403911481,57.97954338363004,50.33276032287291,50.0,50.0,84200.58656817532,83975.29315719433
1764769356.9143932,0,289.80058518252275,263.87927047676646,105551.70819070659,16067.226936961917,20,414.1206154422827,40.26873919038074,57.960117036504556,50.33108316728207,50.0,50.0,84074.36930999027,83850.12271441057
1764769356.9484897,0,289.59492417305614,263.5156346320213,105406.25385280853,16099.913241611986,20,414.77308552893453,40.3506597534135,57.91898483461123,50.37872139573843,50.0,50.0,83733.5394420417,83480.2866263293
1764769357.0857823,0,289.461017717427,263.6167221545694,105446.68886182776,16070.486650135565,20,414.77308552893453,40.27690889758287,57.8922035434854,50.364846004484995,50.0,50.0,83763.10520987741,83504.52199919234
1764769357.1191075,0,289.751384720591,263.97695605846195,105590.78242338478,16054.513393027406,20,413.05224921731076,40.23687567174788,57.950276944118194,50.37018632126703,50.0,50.0,83915.8999847944,83659.65547703259
1764769357.2557263,0,289.6560024270428,263.96392704839013,105585.57081935604,16083.506055844764,20,423.3151394201624,40.309538987079605,57.93120048540855,50.34764708232051,50.0,50.0,84051.99848326482,83811.03993028442
1764769357.389893,0,289.2403092963953,263.60291020434744,105441.16408173897,16051.740877089313,20,415.8629404678876,40.2299270102489,57.84806185927906,50.357762574409705,50.0,50.0,83682.26723118317,83439.44115313412
1764769357.430391,0,289.4505179690657,263.7501327308479,105500.05309233915,16075.455588869552,20,415.8629404678876,40.28936237811918,57.89010359381314,50.350641711507016,50.0,50.0,83537.5998259247,83308.56365284431
1764769357.4627604,0,289.8204620453055,263.9947150137416,105597.88600549664,16054.842286568632,20,423.4767704033108,40.23769996633742,57.964092409061095,50.327292634954354,50.0,50.0,83977.5224531728,83742.26533543864
1764769357.599811,0,289.7367071592115,263.8744638665739,105549.78554662954,16078.389171071525,20,423.4767704033108,40.296714714464976,57.947341431842304,50.080741958291895,50.0,50.0,84135.7091693653,83917.6040328525
1764769357.6305892,0,289.35636242684205,263.4135330290003,105365.41321160011,16071.233340188548,20,423.4767704033108,40.27878030122443,57.87127248536841,50.34717624693936,50.0,50.0,83571.88050108466,83340.42729686585
1764769357.6684256,0,289.0891765506595,263.3574048029565,105342.9619211826,16061.127940484323,20,412.7308791198029,40.253453484923114,57.81783531013189,50.35911654624466,50.0,50.0,83359.86788575182,83135.82967802715
1764769357.801809,0,290.04498397660444,264.16776818078637,105667.10727231455,16167.151388926293,20,421.2492382599033,40.51917641334911,58.00899679532089,50.37852807381563,50.0,50.0,84266.53975634303,84022.76992703935
1764769357.8411689,0,290.01131407351147,264.29011020867875,105716.0440834715,16140.439340836567,20,421.2492382599033,40.45222892440243,58.0022628147023,50.33826180088683,50.0,50.0,84473.9538062755,84256.2785258436
1764769357.9757695,0,289.05107949828385,263.49097071737776,105396.38828695111,16080.682820006445,20,421.2492382599033,40.3024632080362,57.81021589965677,50.40038216331809,50.0,50.0,83415.89395552399,83158.48322406708
1764769358.1158292,0,289.5295237776511,263.9765324420919,105590.61297683677,16114.886795259012,20,416.276080744432,40.3881874567895,57.905904755530216,50.383001237361654,50.0,50.0,83993.72754291486,83735.69011608422
1764769358.1500878,0,289.5250109746867,264.0006066231251,105600.24264925005,16090.245901871567,20,416.276080744432,40.326430831758316,57.90500219493735,50.35155780133085,50.0,50.0,84113.68007543121,83867.60047149203
1764769358.2888794,0,288.8300841779757,263.1861220431007,105274.44881724028,16045.490416911165,20,412.13841384888474,40.21426169651921,57.766016835595146,50.35184304687578,50.0,50.0,83084.18966953241,82852.49554333663
1764769358.3279855,0,288.61619363220825,262.8736635183166,105149.46540732666,16077.422800890883,20,413.8954939708704,40.29429273406237,57.72323872644165,50.337595408670644,50.0,50.0,83517.55152353202,83277.43171255957
1764769358.4630177,0,289.1245941722644,263.45349675664727,105381.39870265892,16100.650222734239,20,417.3649114733523,40.35250682389533,57.82491883445287,50.356267647838905,50.0,50.0,83389.35872979138,83156.05370412138
1764769358.5982795,0,289.1886337192328,263.568943955248,105427.5775820992,16111.503813478324,20,422.5938740840895,40.37970880571009,57.83772674384656,50.39681175750814,50.0,50.0,83575.92293614561,83320.15217411712
1764769358.6347125,0,289.1746552057855,263.450089040458,105380.0356161832,16127.060163229857,20,422.5938740840895,40.41869715095202,57.8349310411571,50.368983471261245,50.0,50.0,83597.78291246376,83361.60643514029
1764769358.6711557,0,289.17705542862416,263.4120961478329,105364.83845913317,16136.3589132703,20,422.5938740840895,40.442002288897996,57.83541108572483,50.34010273961575,50.0,50.0,83636.050397069,83397.66564344669
1764769358.706074,0,289.2941512966415,263.580685220453,105432.2740881812,16134.102016594017,20,422.5938740840895,40.43634590625067,57.8588302593283,50.33766414558774,50.0,50.0,83681.7639283992,83439.30528223196
1764769358.8420317,0,288.9468034055756,263.2621990906185,105304.8796362474,16140.091117406173,20,424.14694029916336,40.45135618397537,57.78936068111512,50.414685298785486,50.0,50.0,83538.35744647936,83275.4988117908
1764769358.8763387,0,288.6717125287817,263.0613234691555,105224.52938766222,16148.483517396675,20,424.14694029916336,40.472389767911466,57.734342505756345,50.35918288601502,50.0,50.0,83311.4905644882,83064.9992613869
1764769359.0101256,0,288.9479818188326,262.9453044450445,105178.1217780178,16152.855139391642,20,425.58899596102776,40.48334621401414,57.78959636376651,50.07588997484713,50.0,50.0,83094.496898586,82877.59655854388
1764769359.1493793,0,289.16989263147116,263.5388751693192,105415.55006772769,16184.268305399317,20,425.58899596102776,40.56207595338174,57.833978526294224,50.40360724208958,50.0,50.0,83501.40216827454,83239.51078898455
1764769359.184484,0,289.0107418603578,263.6070682590205,105442.82730360818,16133.52566995634,20,416.1740138386796,40.434901428462005,57.80214837207156,50.37778165893964,50.0,50.0,83294.42886935959,83046.63652934156
1764769359.2204516,0,288.9320220294997,263.4101574537124,105364.06298148494,16139.073020378746,20,416.1740138386796,40.44880456235275,57.78640440589994,50.37842997436996,50.0,50.0,83319.81338105931,83070.81771261993
1764769359.3551035,0,290.0034572290486,264.3211269904895,105728.4507961958,16205.48224174738,20,419.34147225353195,40.61524371365258,58.000691445809714,50.37864806877011,50.0,50.0,84222.12072736803,83971.53378724933
1764769359.391472,0,289.96875074314937,264.29934225703715,105719.73690281485,16201.877670475431,20,419.34147225353195,40.60620970043968,57.99375014862987,50.382222130685754,50.0,50.0,84107.89223907566,83851.12259482757
1764769359.5288863,0,289.38502253402936,263.9481514088933,105579.26056355733,16161.175797365537,20,417.715910357694,40.504199993397336,57.877004506805875,50.38526710461971,50.0,50.0,83748.21308445167,83486.1335973165
1764769359.6672978,0,289.6128314577894,264.1776039925039,105671.04159700157,16191.265577315144,20,422.1084115121714,40.57961297572718,57.922566291557885,50.397533687786634,50.0,50.0,83929.05386502086,83672.41504401961
1764769359.70745,0,290.03743962989233,264.50744111541366,105802.97644616547,16229.179899880612,20,422.1084115121714,40.67463634055291,58.00748792597846,50.39818463730932,50.0,50.0,84044.1322526469,83770.62053698236
1764769359.740589,0,290.2598480086354,264.71239558464947,105884.9582338598,16248.902494218026,20,427.55225796504106,40.72406640154894,58.05196960172708,50.41538415911988,50.0,50.0,84329.31078380416,84062.89138268982
1764769359.8756206,0,289.5309260369691,263.9107890282961,105564.31561131845,16197.595492083836,20,427.55225796504106,40.59547742376901,57.906185207393825,50.41605583638129,50.0,50.0,83499.04890569224,83226.71587052444
1764769359.912522,0,289.0300316347711,263.61695666232333,105446.78266492934,16140.790739564436,20,417.8231746436666,40.45310962296851,57.80600632695422,50.38918160762186,50.0,50.0,83510.07225943703,83264.6969457349
1764769360.049191,0,289.58827723994483,263.90819384193315,105563.27753677327,16193.025386006268,20,423.4841596499858,40.58402352382523,57.91765544798897,50.40514504044849,50.0,50.0,83895.11463357114,83627.060891841
1764769360.0860422,0,289.2915869504686,263.7215939484672,105488.63757938688,16189.86118934075,20,423.4841596499858,40.576093206367794,57.85831739009373,50.389514997008575,50.0,50.0,83887.64344207197,83629.89751010516
1764769360.2232797,0,288.9952125938954,263.58773919489437,105435.09567795775,16158.5173799774,20,417.28932278422815,40.49753729317644,57.79904251877909,50.52075602031368,50.0,50.0,83568.26318962286,83248.48207901539
1764769360.2584832,0,288.8287050241945,263.4262022918964,105370.48091675856,16173.514687331124,20,417.28932278422815,40.53512452965194,57.7657410048389,50.46044688447291,50.0,50.0,83370.5275668618,83082.41606629094
1764769360.2922425,0,288.9227227793991,263.3556124030482,105342.24496121929,16201.690146509049,20,418.6295609295122,40.605739715561526,57.784544555879826,50.460897627959284,50.0,50.0,83407.34339628965,83114.80663068879
1764769360.4263344,0,289.4121038739844,263.7280131149136,105491.20524596544,16216.293235813553,20,422.8942826103981,40.64233893687607,57.882420774796884,50.08768022295446,50.0,50.0,84400.95386084629,84132.90083089404
1764769360.4648757,0,289.3413514430656,263.7079865834198,105483.19463336792,16185.709635210074,20,422.8942826103981,40.56568830879718,57.86827028861312,50.43144320871075,50.0,50.0,83530.39465805872,83258.94330408386
1764769360.598727,0,289.0239413192128,263.3111342274979,105324.45369099916,16190.060612954054,20,418.3611334209262,40.57659301492244,57.80478826384255,50.45949400747709,50.0,50.0,83446.9170177064,83171.80617355776
1764769360.737393,0,288.9991458683777,263.250734452582,105300.29378103279,16174.716537959357,20,418.3611334209262,40.53813668661493,57.79982917367554,50.42240703443079,50.0,50.0,83613.74070950181,83338.52138126106
1764769360.875352,0,288.98977599032446,262.88488799137247,105153.95519654898,16254.381174667998,20,420.38411480679764,40.73779743024561,57.79795519806489,50.40817923764072,50.0,50.0,83449.71956459522,83195.24701647801
1764769360.9077349,0,289.07508255452314,262.96229177249364,105184.91670899745,16243.849629201888,20,420.38411480679764,40.711402579453356,57.81501651090463,50.386122183243465,50.0,50.0,83487.32418839684,83250.61606802317
1764769361.0454206,0,289.8927765227709,263.57468973218545,105429.87589287417,16295.417117420606,20,425.4558560372142,40.84064440456292,57.97855530455418,50.40746839098726,50.0,50.0,84070.04712741217,83807.30671654904
1764769361.1834424,0,289.5624620854187,263.3671507695819,105346.86030783274,16249.47140453455,20,425.4558560372142,40.725492241941225,57.91249241708374,50.402020093969256,50.0,50.0,83899.351451546,83616.31226539648
1764769361.2194164,0,289.3109000186588,263.40411433498923,105361.6457339957,16212.02792761549,20,416.8985627753811,40.63164894139221,57.86218000373176,50.44996745170668,50.0,50.0,83548.26977689726,83271.43884717474
1764769361.2578783,0,289.4931902821871,263.4898140834701,105395.92563338805,16250.096955989244,20,428.6676450275418,40.72706004007329,57.89863805643741,50.409848757578125,50.0,50.0,83585.63682287213,83325.97241860059
1764769361.2921739,0,289.3322534489212,263.1021941745712,105240.87766982848,16291.504241163086,20,432.1672873854897,40.83083769715059,57.866450689784244,50.412890128599834,50.0,50.0,83715.83826981837,83448.4019416391
1764769361.428018,0,289.1783145942439,263.0404717214954,105216.18868859817,16243.553787619014,20,432.1672873854897,40.71066112185216,57.835662918848776,50.31982661523216,50.0,50.0,83421.9776314649,83166.39732130001
1764769361.4668248,0,289.0055044741818,263.287699483838,105315.07979353522,16142.16771864151,20,425.45905337454576,40.45656069834965,57.80110089483637,50.48107464265852,50.0,50.0,83404.49961169476,83135.09196762972
1764769361.5013885,0,288.9181007673274,263.27944665313254,105311.77866125302,16145.261032273342,20,421.33006304625144,40.46431336409359,57.783620153465485,50.42985779952601,50.0,50.0,83445.64624122148,83182.00878138987
1764769361.6357198,0,289.4616044340752,263.6897394142401,105475.89576569604,16185.013947178322,20,417.34859339039315,40.563944729770235,57.89232088681504,50.440398050092575,50.0,50.0,83829.89344301229,83552.97262510542
1764769361.6696804,0,289.6931574047292,263.6827669907311,105473.10679629246,16240.734164634925,20,426.0506226611962,40.70359439758126,57.938631480945844,50.43634445593528,50.0,50.0,84126.73819747099,83834.73052484047
1764769361.8079002,0,289.70273874888665,263.5227770685199,105409.11082740795,16217.339986465042,20,426.0506226611962,40.644962372092834,57.94054774977732,50.0894548122993,50.0,50.0,84184.13054436198,83913.3589162098
1764769361.9447348,0,289.24780590097816,263.2754722174499,105310.18888697994,16190.661017083203,20,416.3256605316038,40.57809778717595,57.84956118019563,50.41202998618711,50.0,50.0,83593.08643570222,83337.48736394446
1764769361.9806266,0,289.33057974816694,263.20980830491305,105283.92332196522,16215.318702139379,20,419.06804720745583,40.63989649658992,57.86611594963339,50.39923636660399,50.0,50.0,83629.80697058598,83363.37670204033
1764769362.0142934,0,289.0557447053784,262.99568815161894,105198.27526064757,16165.24583961603,20,419.06804720745583,40.51440060054143,57.811148941075686,50.41977200519983,50.0,50.0,83819.17019163616,83544.86801403022
1764769362.149473,0,289.06867048649144,263.1763649338116,105270.54597352465,16154.038560413459,20,419.06804720745583,40.486312181487364,57.81373409729829,50.40931086884042,50.0,50.0,83487.41561667382,83212.14942920468
1764769362.1888807,0,289.0415505917633,263.0992415567102,105239.69662268407,16181.448237147883,20,419.06804720745583,40.55500811315259,57.808310118352665,50.4401866531872,50.0,50.0,83447.51394479907,83158.67191932643
1764769362.3233352,0,289.0317660991843,263.09522227194543,105238.08890877818,16171.624974660634,20,421.31595041057255,40.53038840767076,57.80635321983687,50.412490093760056,50.0,50.0,83588.6035197712,83310.52092876995
1764769362.3633635,0,289.1486212444354,263.3002539094135,105320.1015637654,16128.166233808523,20,421.31595041057255,40.42146925766547,57.82972424888708,50.41620136902677,50.0,50.0,83655.48338044544,83380.09202796158
1764769362.5007741,0,288.29802197118147,262.49249300855337,104996.99720342134,16071.600253916415,20,413.8974226371103,40.27969988450229,57.6596043942363,50.42144491669341,50.0,50.0,83119.91218806586,82854.40807558759
1764769362.6341472,0,288.70406119167296,262.80424309594633,105121.69723837853,16088.243828330447,20,413.8974226371103,40.32141310358508,57.74081223833459,50.39906617008355,50.0,50.0,83318.01038889051,83049.76368280858
1764769362.6748698,0,288.7594214847442,262.90191402296585,105160.76560918635,16065.997605693803,20,411.9880289751126,40.26565815963359,57.751884296948845,50.38174368698947,50.0,50.0,83442.93592819615,83190.01058873102
1764769362.8081675,0,288.507242247381,262.67749461249787,105070.99784499915,16075.544663192972,20,414.7245354381714,40.28958562203752,57.7014484494762,50.36673662470028,50.0,50.0,83206.62461592456,82962.67202648376
1764769362.8442523,0,288.58890564996256,262.5743044450121,105029.72177800485,16119.584352899677,20,420.6018104349835,40.39996078420972,57.71778112999251,50.4172400479335,50.0,50.0,83126.96750815013,82859.37725351269
1764769362.9795065,0,288.9713484653266,263.0155938999386,105206.23755997545,16112.458174174091,20,420.6018104349835,40.38210068715311,57.794269693065324,50.354533119291254,50.0,50.0,83595.2137301684,83347.15901449225
1764769363.0155692,0,288.52029488324837,262.48000220595657,104992.00088238262,16058.769725154958,20,420.6018104349835,40.24754317081443,57.70405897664968,50.40753037922514,50.0,50.0,83609.50039761963,83312.8124932901
1764769363.1535883,0,288.2098462719031,262.23526580474487,104894.10632189794,16049.273249324624,20,420.2473286657689,40.223742479510335,57.64196925438061,50.26525520405125,50.0,50.0,83215.69311325169,82966.92075699655
1764769363.1861033,0,288.84169243575946,262.56000179432635,105024.00071773054,16140.79649076457,20,420.2473286657689,40.45312403700393,57.768338487151894,50.45544560870359,50.0,50.0,83470.49557311554,83179.76863965578
1764769363.3201528,0,289.26694522790615,263.09354962065004,105237.41984826,16115.82384859563,20,417.7845967193957,40.39053596139256,57.853389045581224,50.42996665674049,50.0,50.0,83765.67190596211,83483.85067217362
1764769363.3569505,0,289.2668289732294,263.2130889811542,105285.23559246169,16096.830853902527,20,415.8126666921584,40.342934470933656,57.85336579464588,50.44815415818092,50.0,50.0,83856.04470075795,83573.66721203204
1764769363.4932945,0,288.9640077914262,262.9221383847289,105168.85535389156,16093.290457070187,20,422.3776577067649,40.334061295915255,57.792801558285234,50.454937344797685,50.0,50.0,83417.54399905863,83132.17123423314
