timestamp,chan_0_rms,chan_0_force
1764769356.7145007,289.6385482362062,57.927709647241244
1764769356.8445907,290.13890244599446,58.02778048919889
1764769356.8814318,289.782613937356,57.9565227874712
1764769356.9143932,289.1711549788459,57.834230995769175
1764769356.9484897,289.2546756561757,57.85093513123515
1764769357.0857823,289.79001616688123,57.958003233376246
1764769357.1191075,290.0414446365724,58.008288927314474
1764769357.2557263,289.57177754026776,57.914355508053546
1764769357.389893,289.1499000835022,57.82998001670043
1764769357.430391,289.64098641326683,57.92819728265337
1764769357.4627604,290.4894760951064,58.097895219021275
1764769357.599811,288.98197734273316,57.796395468546635
1764769357.6305892,288.6345314886379,57.726906297727574
1764769357.6684256,289.05834367396784,57.811668734793564
1764769357.801809,290.55247031463875,58.110494062927756
1764769357.8411689,289.64468147860657,57.928936295721314
1764769357.9757695,288.9264646919281,57.78529293838562
1764769358.1189916,290.1048025047837,58.02096050095674
1764769358.1500878,289.06816655382,57.813633310764004
1764769358.2888794,288.981420163198,57.7962840326396
1764769358.3279855,288.9748163432272,57.79496326864544
1764769358.4630177,289.27429445070175,57.85485889014035
1764769358.5982795,289.07383427,57.814766854
1764769358.6347125,289.39063006820504,57.87812601364101
1764769358.6721766,289.32613171716906,57.86522634343382
1764769358.706074,289.1976403389479,57.83952806778958
1764769358.8420317,288.5660659728774,57.71321319457549
1764769358.8767035,288.5481539856754,57.709630797135084
1764769359.0101256,289.5000206174509,57.90000412349018
1764769359.1493793,288.5953202838854,57.71906405677708
1764769359.184484,289.20025328576554,57.84005065715311
1764769359.2214496,289.1586693151885,57.83173386303769
1764769359.3551035,289.65559602941215,57.93111920588243
1764769359.391472,289.5805795781383,57.916115915627664
1764769359.5288863,289.2781252923855,57.8556250584771
1764769359.6672978,289.94715124884186,57.98943024976837
1764769359.70745,290.40069507624344,58.08013901524869
1764769359.7416031,290.5722082627199,58.11444165254398
1764769359.8756206,288.71125291846386,57.742250583692766
1764769359.912522,289.1072845229351,57.82145690458702
1764769360.049191,290.00045850092636,58.00009170018527
1764769360.0860422,289.29144311734734,57.85828862346947
1764769360.2232797,288.51312784342855,57.702625568685704
1764769360.2584832,288.57876146743916,57.71575229348783
1764769360.2922425,289.3317378693953,57.866347573879054
1764769360.4263344,289.165359033592,57.833071806718394
1764769360.4648757,288.8480930013691,57.76961860027382
1764769360.598727,289.5058510372455,57.901170207449105
1764769360.737393,288.8640215716908,57.77280431433815
1764769360.87616,288.9774403800278,57.79548807600556
1764769360.9077349,289.1404867633428,57.82809735266855
1764769361.0454206,290.32457480378514,58.06491496075703
1764769361.1834424,289.22809777730083,57.84561955546017
1764769361.2194164,289.1131452433221,57.82262904866442
1764769361.2578783,289.7580402605616,57.95160805211231
1764769361.2921739,289.2961617188801,57.85923234377602
1764769361.428018,288.3994441563101,57.67988883126202
1764769361.4668248,289.0545266218019,57.810905324360384
1764769361.5013885,289.32079504826663,57.86415900965333
1764769361.6394286,289.9763843865744,57.995276877314886
1764769361.6696804,289.6085999361486,57.92171998722972
1764769361.8079002,289.6390026038436,57.92780052076873
1764769361.9447348,288.8560794023739,57.77121588047478
1764769361.9806266,289.6947366144643,57.938947322892865
1764769362.0142934,289.25527218471103,57.851054436942206
1764769362.149473,288.88194825396107,57.77638965079221
1764769362.1888807,288.96761906300753,57.793523812601514
1764769362.3233352,289.53568462703885,57.90713692540776
1764769362.3633635,288.8064186366716,57.76128372733432
1764769362.5007741,288.4354905436852,57.68709810873705
1764769362.6341472,288.97238223047225,57.79447644609444
1764769362.6748698,288.94403396506704,57.7888067930134
1764769362.8081675,288.2483312024026,57.64966624048052
1764769362.8442523,288.90979404294626,57.78195880858925
1764769362.9795065,289.03288977865617,57.80657795573123
1764769363.0155692,287.9434066361336,57.58868132722672
1764769363.1535883,288.6504457990953,57.73008915981905
1764769363.1861033,288.71615773965283,57.74323154793056
1764769363.3201528,289.6253977492573,57.92507954985145
1764769363.3579772,289.4979672821925,57.8995934564385
1764769363.4932945,289.25299696394757,57.85059939278951
1764769363.6305332,289.04437782627866,57.80887556525573
1764769363.6688566,288.78771100245103,57.75754220049021
1764769363.8056715,288.5454267459949,57.709085349198986
1764769363.9395204,289.16886636856975,57.83377327371395
1764769363.9766922,288.9265021191942,57.785300423838834
1764769364.0151958,288.8669285806058,57.77338571612116
1764769364.1529362,288.57652390360425,57.71530478072086
