"type";"begin_time";"frequency";"count";"created with version";"exported with version";"last_name";"first_name";"born";"sex";"measurement_date";"record_name"
"record";"0,00000";"2000.4";"80560";"Noraxon myoRESEARCH Software 4.2.22";"4.2.22";"MyoMetrics Demo Record";"";"";"male";"2025-12-02T13:35:13.117+01:00";"Free Capture-2"

"time";"Activity";"Marker";"BICEPS BR. LT (uV)"
0,00000;"Activity";;-3,241070047
0,00050;;;-4,15665327
0,00100;;;-3,546264455
0,00150;;;-2,325486824
0,00200;;;-1,409903601
0,00250;;;-1,409903601
0,00300;;;-1,409903601
0,00350;;;-1,409903601
0,00400;;;-1,409903601
0,00450;;;-1,104709193
0,00500;;;-1,104709193
0,00550;;;-1,715098008
0,00600;;;-1,715098008
0,00650;;;0,1160684379
0,00700;;;2,5576237
0,00750;;;3,168012515
0,00800;;;1,947234884
0,00850;;;1,031651661
0,00900;;;2,252429292
0,00950;;;2,862818107
0,01000;;;1,642040476
0,01050;;;0,4212628456
0,01100;;;0,7264572533
0,01150;;;1,642040476
0,01200;;;0,4212628456
0,01250;;;-0,4943203775
0,01300;;;0,1160684379
0,01350;;;2,252429292
0,01400;;;2,862818107
0,01450;;;1,336846069
0,01500;;;0,1160684379
0,01550;;;0,7264572533
0,01600;;;2,862818107
0,01650;;;4,388790146
0,01700;;;3,473206923
0,01750;;;1,642040476
0,01800;;;0,1160684379
0,01850;;;-1,104709193
0,01900;;;-2,325486824
0,01950;;;-4,15665327
0,02000;;;-5,377430901
0,02050;;;-4,767042085
0,02100;;;-2,630681231
0,02150;;;-0,1891259698
0,02200;;;1,336846069
0,02250;;;2,252429292
0,02300;;;3,168012515
0,02350;;;4,083595738
0,02400;;;4,388790146
0,02450;;;4,388790146
0,02500;;;3,77840133
0,02550;;;2,862818107
0,02600;;;2,5576237
0,02650;;;2,252429292
0,02700;;;1,642040476
0,02750;;;0,4212628456
0,02800;;;-0,4943203775
0,02849;;;-0,1891259698
0,02899;;;0,4212628456
0,02949;;;0,1160684379
0,02999;;;-1,104709193
0,03049;;;-2,325486824
0,03099;;;-1,409903601
0,03149;;;0,1160684379
0,03199;;;-0,1891259698
0,03249;;;-1,409903601
0,03299;;;-2,020292416
0,03349;;;-2,020292416
0,03399;;;-2,935875639
0,03449;;;-4,461847678
0,03499;;;-5,072236493
0,03549;;;-4,15665327
0,03599;;;-3,241070047
0,03649;;;-3,546264455
0,03699;;;-4,15665327
0,03749;;;-3,241070047
0,03799;;;-2,020292416
0,03849;;;-2,935875639
0,03899;;;-4,767042085
0,03949;;;-4,767042085
0,03999;;;-3,241070047
0,04049;;;-2,020292416
0,04099;;;-2,630681231
0,04149;;;-3,546264455
0,04199;;;-3,546264455
0,04249;;;-3,241070047
0,04299;;;-3,241070047
0,04349;;;-3,241070047
0,04399;;;-2,630681231
0,04449;;;-2,325486824
0,04499;;;-2,325486824
0,04549;;;-1,715098008
0,04599;;;-0,4943203775
0,04649;;;0,1160684379
0,04699;;;-0,4943203775
0,04749;;;-2,325486824
0,04799;;;-3,241070047
0,04849;;;-1,409903601
0,04899;;;1,031651661
0,04949;;;2,252429292
0,04999;;;0,1160684379
0,05049;;;-2,935875639
0,05099;;;-2,935875639
0,05149;;;0,4212628456
0,05199;;;3,77840133
0,05249;;;3,473206923
0,05299;;;0,4212628456
0,05349;;;-1,409903601
0,05399;;;-1,715098008
0,05449;;;-2,020292416
0,05499;;;-3,241070047
0,05549;;;-3,851458862
0,05599;;;-2,630681231
0,05649;;;-0,4943203775
0,05699;;;0,4212628456
0,05749;;;0,1160684379
0,05799;;;-1,104709193
0,05849;;;-1,409903601
0,05899;;;-1,409903601
0,05949;;;-0,7995147852
0,05999;;;-0,1891259698
0,06049;;;-0,1891259698
0,06099;;;-0,4943203775
0,06149;;;-0,7995147852
0,06199;;;-0,1891259698
0,06249;;;0,1160684379
0,06299;;;-0,1891259698
0,06349;;;-0,7995147852
0,06399;;;-0,7995147852
0,06449;;;-0,1891259698
0,06499;;;0,1160684379
0,06549;;;0,1160684379
0,06599;;;1,336846069
0,06649;;;3,473206923
0,06699;;;4,388790146
0,06749;;;3,77840133
0,06799;;;3,77840133
0,06849;;;4,388790146
0,06899;;;4,693984553
0,06949;;;3,77840133
0,06999;;;3,168012515
0,07049;;;3,77840133
0,07099;;;3,473206923
0,07149;;;1,336846069
0,07199;;;-0,1891259698
0,07249;;;0,4212628456
0,07299;;;2,5576237
0,07349;;;2,252429292
0,07399;;;-0,1891259698
0,07449;;;-1,409903601
0,07499;;;0,1160684379
0,07549;;;1,336846069
0,07599;;;0,1160684379
0,07649;;;-1,715098008
0,07699;;;-2,630681231
0,07749;;;-1,715098008
0,07799;;;-1,104709193
0,07849;;;-1,409903601
0,07899;;;-2,325486824
0,07949;;;-2,630681231
0,07999;;;-1,715098008
0,08049;;;0,1160684379
0,08099;;;1,031651661
0,08149;;;1,642040476
0,08199;;;1,947234884
0,08249;;;2,862818107
0,08299;;;3,473206923
0,08349;;;2,862818107
0,08399;;;1,642040476
0,08448;;;1,336846069
0,08498;;;2,252429292
0,08548;;;3,473206923
0,08598;;;3,77840133
0,08648;;;4,083595738
0,08698;;;4,693984553
0,08748;;;4,693984553
0,08798;;;3,77840133
0,08848;;;2,862818107
0,08898;;;2,5576237
0,08948;;;2,5576237
0,08998;;;2,252429292
0,09048;;;1,336846069
0,09098;;;0,1160684379
0,09148;;;-0,1891259698
0,09198;;;0,1160684379
0,09248;;;1,031651661
0,09298;;;1,642040476
0,09348;;;1,642040476
0,09398;;;1,642040476
0,09448;;;1,642040476
0,09498;;;1,031651661
0,09548;;;-0,1891259698
0,09598;;;-1,409903601
0,09648;;;-1,409903601
0,09698;;;-1,104709193
0,09748;;;-0,4943203775
0,09798;;;-0,4943203775
0,09848;;;-0,4943203775
0,09898;;;-1,104709193
0,09948;;;-2,020292416
0,09998;;;-2,935875639
0,10048;;;-2,935875639
0,10098;;;-2,630681231
0,10148;;;-2,020292416
0,10198;;;-1,409903601
0,10248;;;-0,4943203775
0,10298;;;0,4212628456
0,10348;;;1,031651661
0,10398;;;0,4212628456
0,10448;;;-0,7995147852
0,10498;;;-2,630681231
0,10548;;;-3,241070047
0,10598;;;-2,020292416
0,10648;;;-0,1891259698
0,10698;;;1,031651661
0,10748;;;1,642040476
0,10798;;;2,252429292
0,10848;;;2,862818107
0,10898;;;3,77840133
0,10948;;;4,388790146
0,10998;;;4,083595738
0,11048;;;2,862818107
0,11098;;;1,642040476
0,11148;;;1,336846069
0,11198;;;1,031651661
0,11248;;;1,031651661
0,11298;;;0,1160684379
0,11348;;;-0,4943203775
0,11398;;;-1,409903601
0,11448;;;-1,715098008
0,11498;;;-2,020292416
0,11548;;;-1,715098008
0,11598;;;-2,325486824
0,11648;;;-3,546264455
0,11698;;;-4,461847678
0,11748;;;-2,630681231
0,11798;;;1,336846069
0,11848;;;4,693984553
0,11898;;;4,999178961
0,11948;;;3,77840133
0,11998;;;2,862818107
0,12048;;;1,947234884
0,12098;;;0,7264572533
0,12148;;;-0,7995147852
0,12198;;;-1,715098008
0,12248;;;-2,020292416
0,12298;;;-2,325486824
0,12348;;;-2,020292416
0,12398;;;-0,4943203775
0,12448;;;1,031651661
0,12498;;;1,336846069
0,12548;;;0,1160684379
0,12598;;;-0,1891259698
0,12648;;;0,4212628456
0,12698;;;2,252429292
0,12748;;;3,473206923
0,12798;;;3,77840133
0,12848;;;3,77840133
0,12898;;;3,473206923
0,12948;;;2,5576237
0,12998;;;1,336846069
0,13048;;;0,7264572533
0,13098;;;1,031651661
0,13148;;;1,336846069
0,13198;;;0,7264572533
0,13248;;;-0,4943203775
0,13298;;;-1,715098008
0,13348;;;-2,630681231
0,13398;;;-2,935875639
0,13448;;;-3,241070047
0,13498;;;-3,241070047
0,13548;;;-2,630681231
0,13598;;;-1,715098008
0,13648;;;-1,104709193
0,13698;;;-1,715098008
0,13748;;;-2,630681231
0,13798;;;-2,935875639
0,13848;;;-1,715098008
0,13898;;;-0,4943203775
0,13948;;;-0,7995147852
0,13998;;;-2,630681231
0,14048;;;-3,851458862
0,14097;;;-2,630681231
0,14147;;;-0,4943203775
0,14197;;;0,1160684379
0,14247;;;-0,7995147852
0,14297;;;-1,715098008
0,14347;;;-0,7995147852
0,14397;;;0,4212628456
0,14447;;;0,1160684379
0,14497;;;-1,409903601
0,14547;;;-1,409903601
0,14597;;;1,031651661
0,14647;;;4,388790146
0,14697;;;5,304373369
0,14747;;;3,473206923
0,14797;;;1,947234884
0,14847;;;1,642040476
0,14897;;;2,252429292
0,14947;;;1,947234884
0,14997;;;1,336846069
0,15047;;;1,336846069
0,15097;;;1,947234884
0,15147;;;2,252429292
0,15197;;;2,252429292
0,15247;;;2,252429292
0,15297;;;2,252429292
0,15347;;;1,336846069
0,15397;;;0,1160684379
0,15447;;;-0,7995147852
0,15497;;;-1,715098008
0,15547;;;-2,325486824
0,15597;;;-2,935875639
0,15647;;;-3,546264455
0,15697;;;-4,15665327
0,15747;;;-4,15665327
0,15797;;;-2,935875639
0,15847;;;-1,104709193
0,15897;;;0,1160684379
0,15947;;;0,7264572533
0,15997;;;1,336846069
0,16047;;;1,031651661
0,16097;;;0,1160684379
0,16147;;;0,1160684379
0,16197;;;0,7264572533
0,16247;;;2,862818107
0,16297;;;3,77840133
0,16347;;;2,862818107
0,16397;;;1,642040476
0,16447;;;0,7264572533
0,16497;;;0,1160684379
0,16547;;;-0,1891259698
0,16597;;;0,1160684379
0,16647;;;1,031651661
0,16697;;;1,947234884
0,16747;;;2,862818107
0,16797;;;3,473206923
0,16847;;;4,388790146
0,16897;;;4,388790146
0,16947;;;3,168012515
0,16997;;;2,862818107
0,17047;;;3,473206923
0,17097;;;4,083595738
0,17147;;;3,168012515
0,17197;;;1,947234884
0,17247;;;1,336846069
0,17297;;;1,031651661
0,17347;;;0,1160684379
0,17397;;;-0,7995147852
0,17447;;;-0,7995147852
0,17497;;;-0,1891259698
0,17547;;;-0,1891259698
0,17597;;;-1,715098008
0,17647;;;-2,935875639
0,17697;;;-2,935875639
0,17747;;;-2,325486824
0,17797;;;-2,630681231
0,17847;;;-2,935875639
0,17897;;;-2,630681231
0,17947;;;-1,409903601
0,17997;;;-1,104709193
0,18047;;;-1,104709193
0,18097;;;-0,4943203775
0,18147;;;0,7264572533
0,18197;;;1,031651661
0,18247;;;0,1160684379
0,18297;;;-0,7995147852
0,18347;;;0,1160684379
0,18397;;;1,336846069
0,18447;;;1,642040476
0,18497;;;1,031651661
0,18547;;;1,031651661
0,18597;;;0,7264572533
0,18647;;;0,1160684379
0,18697;;;-0,4943203775
0,18747;;;-0,4943203775
0,18797;;;0,7264572533
0,18847;;;1,947234884
0,18897;;;1,947234884
0,18947;;;0,7264572533
0,18997;;;-0,1891259698
0,19047;;;-0,7995147852
0,19097;;;0,1160684379
0,19147;;;1,336846069
0,19197;;;2,252429292
0,19247;;;1,031651661
0,19297;;;-1,104709193
0,19347;;;-1,409903601
0,19397;;;-0,1891259698
0,19447;;;0,4212628456
0,19497;;;0,1160684379
0,19547;;;-1,715098008
0,19597;;;-2,325486824
0,19647;;;-2,020292416
0,19696;;;-1,104709193
0,19746;;;-1,104709193
0,19796;;;-1,715098008
0,19846;;;-2,630681231
0,19896;;;-2,935875639
0,19946;;;-2,630681231
0,19996;;;-1,715098008
0,20046;;;-1,409903601
0,20096;;;-2,020292416
0,20146;;;-2,630681231
0,20196;;;-2,935875639
0,20246;;;-3,241070047
0,20296;;;-3,851458862
0,20346;;;-4,15665327
0,20396;;;-3,546264455
0,20446;;;-2,020292416
0,20496;;;-0,1891259698
0,20546;;;0,7264572533
0,20596;;;1,031651661
0,20646;;;0,4212628456
0,20696;;;0,4212628456
0,20746;;;1,031651661
0,20796;;;1,947234884
0,20846;;;1,947234884
0,20896;;;1,642040476
0,20946;;;2,252429292
0,20996;;;3,168012515
0,21046;;;3,77840133
0,21096;;;3,473206923
0,21146;;;2,862818107
0,21196;;;2,252429292
0,21246;;;1,947234884
0,21296;;;1,642040476
0,21346;;;0,7264572533
0,21396;;;-0,4943203775
0,21446;;;-2,325486824
0,21496;;;-3,241070047
0,21546;;;-2,630681231
0,21596;;;-1,409903601
0,21646;;;-0,4943203775
0,21696;;;-0,7995147852
0,21746;;;-1,409903601
0,21796;;;-2,020292416
0,21846;;;-2,325486824
0,21896;;;-2,935875639
0,21946;;;-2,630681231
0,21996;;;-1,409903601
0,22046;;;0,1160684379
0,22096;;;1,947234884
0,22146;;;2,252429292
0,22196;;;1,642040476
0,22246;;;0,1160684379
0,22296;;;-0,7995147852
0,22346;;;-0,1891259698
0,22396;;;1,336846069
0,22446;;;2,862818107
0,22496;;;2,252429292
0,22546;;;1,031651661
0,22596;;;1,642040476
0,22646;;;3,77840133
0,22696;;;4,693984553
0,22746;;;3,77840133
0,22796;;;2,862818107
0,22846;;;3,168012515
0,22896;;;3,77840133
0,22946;;;2,5576237
0,22996;;;0,1160684379
0,23046;;;-2,325486824
0,23096;;;-2,325486824
0,23146;;;-0,1891259698
0,23196;;;1,336846069
0,23246;;;2,252429292
0,23296;;;1,642040476
0,23346;;;0,4212628456
0,23396;;;0,1160684379
0,23446;;;0,1160684379
0,23496;;;0,4212628456
0,23546;;;0,7264572533
0,23596;;;0,7264572533
0,23646;;;0,1160684379
0,23696;;;-1,104709193
0,23746;;;-1,715098008
0,23796;;;-1,409903601
0,23846;;;-0,7995147852
0,23896;;;-0,7995147852
0,23946;;;-1,715098008
0,23996;;;-2,935875639
0,24046;;;-2,630681231
0,24096;;;-1,715098008
0,24146;;;-1,104709193
0,24196;;;-1,715098008
0,24246;;;-2,935875639
0,24296;;;-3,546264455
0,24346;;;-2,935875639
0,24396;;;-1,715098008
0,24446;;;-1,409903601
0,24496;;;-2,020292416
0,24546;;;-2,630681231
0,24596;;;-0,4943203775
0,24646;;;2,252429292
0,24696;;;3,77840133
0,24746;;;3,168012515
0,24796;;;2,252429292
0,24846;;;2,252429292
0,24896;;;1,642040476
0,24946;;;-0,4943203775
0,24996;;;-2,325486824
0,25046;;;-1,409903601
0,25096;;;1,336846069
0,25146;;;3,473206923
0,25196;;;2,862818107
0,25246;;;2,252429292
0,25296;;;2,862818107
0,25345;;;3,473206923
0,25395;;;2,862818107
0,25445;;;1,031651661
0,25495;;;0,1160684379
0,25545;;;0,7264572533
0,25595;;;2,5576237
0,25645;;;4,083595738
0,25695;;;3,77840133
0,25745;;;1,642040476
0,25795;;;-0,1891259698
0,25845;;;-1,409903601
0,25895;;;-0,7995147852
0,25945;;;0,1160684379
0,25995;;;1,336846069
0,26045;;;1,336846069
0,26095;;;1,031651661
0,26145;;;1,031651661
0,26195;;;1,642040476
0,26245;;;2,252429292
0,26295;;;2,862818107
0,26345;;;3,168012515
0,26395;;;3,77840133
0,26445;;;4,083595738
0,26495;;;3,168012515
0,26545;;;2,252429292
0,26595;;;2,252429292
0,26645;;;4,083595738
0,26695;;;5,609567777
0,26745;;;5,914762184
0,26795;;;5,304373369
0,26845;;;4,999178961
0,26895;;;4,999178961
0,26945;;;4,083595738
0,26995;;;3,168012515
0,27045;;;2,862818107
0,27095;;;3,77840133
0,27145;;;4,999178961
0,27195;;;4,388790146
0,27245;;;1,947234884
0,27295;;;0,1160684379
0,27345;;;-0,4943203775
0,27395;;;-0,4943203775
0,27445;;;-0,7995147852
0,27495;;;-1,409903601
0,27545;;;-1,104709193
0,27595;;;-0,1891259698
0,27645;;;0,1160684379
0,27695;;;0,1160684379
0,27745;;;-0,7995147852
0,27795;;;-1,409903601
0,27845;;;-1,409903601
0,27895;;;-2,020292416
0,27945;;;-2,935875639
0,27995;;;-3,546264455
0,28045;;;-3,546264455
0,28095;;;-3,241070047
0,28145;;;-2,935875639
0,28195;;;-2,630681231
0,28245;;;-2,935875639
0,28295;;;-2,935875639
0,28345;;;-1,715098008
0,28395;;;-0,1891259698
0,28445;;;0,1160684379
0,28495;;;-0,7995147852
0,28545;;;-1,409903601
0,28595;;;-0,7995147852
0,28645;;;-0,1891259698
0,28695;;;-0,4943203775
0,28745;;;-0,4943203775
0,28795;;;0,4212628456
0,28845;;;1,642040476
0,28895;;;1,336846069
0,28945;;;0,4212628456
0,28995;;;0,4212628456
0,29045;;;1,336846069
0,29095;;;1,031651661
0,29145;;;0,1160684379
0,29195;;;-1,104709193
0,29245;;;-2,020292416
0,29295;;;-2,325486824
0,29345;;;-2,630681231
0,29395;;;-3,546264455
0,29445;;;-4,461847678
0,29495;;;-5,377430901
0,29545;;;-5,072236493
0,29595;;;-2,935875639
0,29645;;;-1,104709193
0,29695;;;-1,104709193
0,29745;;;-2,935875639
0,29795;;;-3,241070047
0,29845;;;-2,325486824
0,29895;;;-1,715098008
0,29945;;;-2,325486824
0,29995;;;-3,241070047
0,30045;;;-4,15665327
0,30095;;;-4,461847678
0,30145;;;-4,15665327
0,30195;;;-3,546264455
