"type";"begin_time";"frequency";"count";"created with version";"exported with version";"last_name";"first_name";"born";"sex";"measurement_date";"record_name"
"record";"0,00000";"2000.4";"42520";"Noraxon myoRESEARCH Software 4.2.22";"4.2.22";"MyoMetrics Demo Record";"";"";"male";"2025-12-02T11:31:19.387+01:00";"Free Capture"

"time";"Activity";"Marker";"BICEPS BR. LT (uV)"
0,09648;;;-24,02235362
0,09698;;;-23,41196481
0,09748;;;-23,71715922
0,09798;;;-22,19118718
0,09848;;;-19,1392431
0,09898;;;-17,61327106
0,09948;;;-15,78210462
0,09998;;;-11,50938291
0,10048;;;-7,236661201
0,10098;;;-6,321077977
0,10148;;;-5,405494754
0,10198;;;0,08800458433
0,10248;;;8,328253592
0,10298;;;14,43214175
0,10348;;;19,62044668
0,10398;;;26,94511246
0,10448;;;33,65938943
0,10498;;;35,18536147
0,10548;;;32,74380621
0,10598;;;31,52302858
0,10648;;;30,91263976
0,10698;;;28,16589009
0,10748;;;25,11394602
0,10798;;;25,41914042
0,10848;;;26,94511246
0,10898;;;24,80875161
0,10948;;;19,31525227
0,10998;;;15,65291938
0,11048;;;14,12694734
0,11098;;;10,76980885
0,11148;;;5,886698331
0,11198;;;1,613976623
0,11248;;;-2,963939493
0,11298;;;-10,28860528
0,11348;;;-19,44443751
0,11398;;;-26,15871448
0,11448;;;-30,12624178
0,11498;;;-32,87299145
0,11548;;;-34,09376908
0,11598;;;-32,56779704
0,11648;;;-30,12624178
0,11698;;;-29,82104737
0,11748;;;-30,43143619
0,11798;;;-29,51585296
0,11848;;;-27,37949211
0,11898;;;-25,54832566
0,11948;;;-23,1067704
0,11998;;;-19,44443751
0,12048;;;-16,08729902
0,12098;;;-14,86652139
0,12148;;;-13,64574376
0,12198;;;-8,762633239
0,12248;;;-1,437967454
0,12298;;;5,276309515
0,12348;;;11,38019767
0,12398;;;17,78928023
0,12448;;;23,58797398
0,12498;;;26,33472365
0,12548;;;25,11394602
0,12598;;;21,75680753
0,12648;;;19,62044668
0,12698;;;19,62044668
0,12748;;;19,62044668
0,12798;;;16,5685026
0,12848;;;12,6009753
0,12898;;;14,43214175
0,12948;;;21,14641872
0,12998;;;23,58797398
0,13048;;;14,12694734
0,13098;;;0,08800458433
0,13148;;;-6,321077977
0,13198;;;-6,321077977
0,13248;;;-9,98341087
0,13298;;;-20,05482632
0,13348;;;-29,51585296
0,13398;;;-33,17818586
0,13448;;;-35,0093523
0,13498;;;-38,36649079
0,13548;;;-38,9768796
0,13598;;;-35,31454671
0,13648;;;-31,95740822
0,13698;;;-31,34701941
0,13748;;;-31,041825
0,13798;;;-27,98988092
0,13848;;;-24,63274244
0,13898;;;-23,1067704
0,13948;;;-20,36002073
0,13998;;;-15,47691021
0,14048;;;-11,81457732
0,14097;;;-11,2041885
0,14147;;;-9,373022054
0,14197;;;-2,658745085
0,14247;;;4,971115108
0,14297;;;10,46461445
0,14347;;;16,26330819
0,14397;;;24,5035572
0,14447;;;31,52302858
0,14497;;;32,4386118
0,14547;;;30,30225095
0,14597;;;29,99705654
0,14647;;;29,99705654
0,14697;;;28,16589009
0,14747;;;25,72433483
0,14797;;;26,33472365
0,14847;;;26,63991805
0,14897;;;23,58797398
0,14947;;;18,70486345
0,14997;;;16,87369701
0,15047;;;17,17889142
0,15097;;;15,04253056
0,15147;;;10,15942004
0,15197;;;5,276309515
0,15247;;;0,393198992
0,15297;;;-6,626272385
0,15347;;;-14,86652139
0,15397;;;-21,27560395
0,15447;;;-24,63274244
0,15497;;;-26,46390889
0,15547;;;-26,15871448
0,15597;;;-23,41196481
0,15647;;;-20,66521514
0,15697;;;-20,36002073
0,15747;;;-20,97040955
0,15797;;;-19,1392431
0,15847;;;-16,39249343
0,15897;;;-14,86652139
0,15947;;;-13,34054935
0,15997;;;-9,373022054
0,16047;;;-5,405494754
0,16097;;;-4,795105939
0,16147;;;-4,184717123
0,16197;;;1,003587807
0,16247;;;8,938642408
0,16297;;;14,73733615
0,16347;;;19,01005786
0,16397;;;25,72433483
0,16447;;;32,74380621
0,16497;;;34,88016706
0,16547;;;32,4386118
0,16597;;;29,99705654
0,16647;;;28,77627891
0,16697;;;26,94511246
0,16747;;;25,11394602
0,16797;;;24,80875161
0,16847;;;24,5035572
0,16897;;;21,14641872
0,16947;;;15,95811378
0,16997;;;13,51655852
0,17047;;;12,6009753
0,17097;;;9,549031223
0,17147;;;4,971115108
0,17197;;;0,6983933997
0,17247;;;-3,2691339
0,17297;;;-10,28860528
0,17347;;;-18,22365988
0,17397;;;-24,32754803
0,17447;;;-28,29507533
0,17497;;;-30,73663059
0,17547;;;-30,73663059
0,17597;;;-27,0742977
0,17647;;;-24,02235362
0,17697;;;-24,63274244
0,17747;;;-26,15871448
0,17797;;;-24,63274244
0,17847;;;-21,58079836
0,17897;;;-20,05482632
0,17947;;;-18,52885429
0,17997;;;-14,25613258
0,18047;;;-10,59379969
0,18097;;;-9,98341087
0,18147;;;-8,762633239
0,18197;;;-2,963939493
0,18247;;;4,6659207
0,18297;;;10,46461445
0,18347;;;16,26330819
0,18397;;;23,89316839
0,18447;;;30,91263976
0,18497;;;32,13341739
0,18547;;;29,99705654
0,18597;;;28,16589009
0,18647;;;26,63991805
0,18697;;;24,80875161
0,18747;;;24,80875161
0,18797;;;26,94511246
0,18847;;;26,02952924
0,18897;;;19,92564108
0,18947;;;14,43214175
0,18997;;;13,82175293
0,19047;;;13,51655852
